ID,Categoria,Tela,Arquivo,ViewModel,Menu,Submenu,Botão,Comando,Modal associado,Função,CRUD,Persistência,Risco,Testável,Testado,Resultado,Observação
UI-011,Sistema,ConfigurarPermissoesWindow,Views\ConfigurarPermissoesWindow.xaml,,Sistema,ConfigurarPermissoesWindow,X,FecharButton_Click,ConfigurarPermissoesWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 12
UI-012,Operação,ConfirmacaoCriticaWindow,Views\ConfirmacaoCriticaWindow.xaml,,Operação,ConfirmacaoCriticaWindow,X,CancelarButton_Click,ConfirmacaoCriticaWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 4
UI-013,Operação,DviOrcamentoWindow,Views\DviOrcamentoWindow.xaml,,Operação,DviOrcamentoWindow,Recarregar padrao,DviCarregarPadraoButton_Click,DviOrcamentoWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 8
UI-014,Cadastros,EditarFornecedorWindow,Views\EditarFornecedorWindow.xaml,,Cadastros,EditarFornecedorWindow,X,FecharButton_Click,EditarFornecedorWindow,Diálogo Modal de Interação,UPDATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 32
UI-015,Cadastros,EditarFuncionarioWindow,Views\EditarFuncionarioWindow.xaml,,Cadastros,EditarFuncionarioWindow,Trocar foto,SelecionarFotoButton_Click,EditarFuncionarioWindow,Diálogo Modal de Interação,UPDATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 16
UI-016,Operação,EditarProdutoWindow,Views\EditarProdutoWindow.xaml,,Operação,EditarProdutoWindow,X,FecharButton_Click,EditarProdutoWindow,Diálogo Modal de Interação,UPDATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 4
UI-017,Operação,FriendlyErrorWindow,Views\FriendlyErrorWindow.xaml,,Operação,FriendlyErrorWindow,Copiar erro,CopyErrorButton_Click,FriendlyErrorWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 3
UI-018,Operação,GerenciarPerfisWindow,Views\GerenciarPerfisWindow.xaml,,Operação,GerenciarPerfisWindow,X,FecharButton_Click,GerenciarPerfisWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 9
UI-019,Cadastros,HistoricoClienteWindow,Views\HistoricoClienteWindow.xaml,,Cadastros,HistoricoClienteWindow,Nova OS,NovaOs360Button_Click,HistoricoClienteWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 14
UI-020,Cadastros,HistoricoEstoqueWindow,Views\HistoricoEstoqueWindow.xaml,,Cadastros,HistoricoEstoqueWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",Fechar_Click,HistoricoEstoqueWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 2
UI-021,Cadastros,ImportarCatalogoPecasWindow,Views\ImportarCatalogoPecasWindow.xaml,,Cadastros,ImportarCatalogoPecasWindow,X,CancelarButton_Click,ImportarCatalogoPecasWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 10
UI-022,Operação,ImportarNotaWindow,Views\ImportarNotaWindow.xaml,,Operação,ImportarNotaWindow,Selecionar XML,SelecionarXmlButton_Click,ImportarNotaWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 8
UI-023,Sistema,LicenseActivationWindow,Views\LicenseActivationWindow.xaml,,Sistema,LicenseActivationWindow,Ativar,ActivateButton_Click,LicenseActivationWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 5
UI-024,Operação,LoginWindow,Views\LoginWindow.xaml,LoginViewModel,Operação,LoginWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",CloseButton_Click,LoginWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 9
UI-025,Operação,NovoAgendamentoPremiumWindow,Views\NovoAgendamentoPremiumWindow.xaml,NovoAgendamentoPremiumViewModel,Operação,NovoAgendamentoPremiumWindow,X,{Binding FecharCommand},NovoAgendamentoPremiumWindow,Diálogo Modal de Interação,CREATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 4
UI-026,Cadastros,NovoFornecedorWindow,Views\NovoFornecedorWindow.xaml,,Cadastros,NovoFornecedorWindow,,FecharButton_Click,NovoFornecedorWindow,Diálogo Modal de Interação,CREATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 32
UI-027,Cadastros,NovoFuncionarioWindow,Views\NovoFuncionarioWindow.xaml,,Cadastros,NovoFuncionarioWindow,Selecionar foto,SelecionarFotoButton_Click,NovoFuncionarioWindow,Diálogo Modal de Interação,CREATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 16
UI-028,Operação,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,Operação,NovoOrcamentoWindow,X,Cancelar_Click,NovoOrcamentoWindow,Diálogo Modal de Interação,CREATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 25
UI-029,Sistema,NovoPerfilWindow,Views\NovoPerfilWindow.xaml,,Sistema,NovoPerfilWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,NovoPerfilWindow,Diálogo Modal de Interação,CREATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 5
UI-030,Operação,NovoProdutoWindow,Views\NovoProdutoWindow.xaml,,Operação,NovoProdutoWindow,X,FecharButton_Click,NovoProdutoWindow,Diálogo Modal de Interação,CREATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 4
UI-031,Cadastros,NovoVeiculoWindow,Views\NovoVeiculoWindow.xaml,,Cadastros,NovoVeiculoWindow,X,FecharButton_Click,NovoVeiculoWindow,Diálogo Modal de Interação,CREATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 48
UI-032,Operação,OperacaoCaixaWindow,Views\OperacaoCaixaWindow.xaml,,Operação,OperacaoCaixaWindow,X,CancelarButton_Click,OperacaoCaixaWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 5
UI-033,Gestão,OrcamentosDashboardControl,Views\OrcamentosDashboardControl.xaml,,Gestão,OrcamentosDashboardControl,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-034,Operação,OrcamentosView,Views\OrcamentosView.xaml,,Operação,OrcamentosView,"{Binding Source={StaticResource LocalizationHelper}, Path=[NewQuote]}",,OrcamentosView,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 8
UI-035,Operação,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,,Operação,OrdemServicoWindow,X,CancelarButton_Click,OrdemServicoWindow,Diálogo Modal de Interação,CRUD,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 58
UI-036,Operação,PagamentoMistoWindow,Views\PagamentoMistoWindow.xaml,,Operação,PagamentoMistoWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,PagamentoMistoWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 5
UI-037,Operação,PosVendaWindow,Views\PosVendaWindow.xaml,,Operação,PosVendaWindow,✕,FecharButton_Click,PosVendaWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 15
UI-038,Operação,PrimeiraExecucaoWindow,Views\PrimeiraExecucaoWindow.xaml,,Operação,PrimeiraExecucaoWindow,Anterior,AnteriorButton_Click,PrimeiraExecucaoWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 5
UI-039,Operação,Produto360Window,Views\Produto360Window.xaml,,Operação,Produto360Window,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",FecharButton_Click,Produto360Window,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 1
UI-040,Cadastros,RevisarCatalogoPecaWindow,Views\RevisarCatalogoPecaWindow.xaml,,Cadastros,RevisarCatalogoPecaWindow,X,CancelarButton_Click,RevisarCatalogoPecaWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 18
UI-041,Operação,SelecaoFilialWindow,Views\SelecaoFilialWindow.xaml,,Operação,SelecaoFilialWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,SelecaoFilialWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 2
UI-042,Cadastros,SelecionarClientePDVWindow,Views\SelecionarClientePDVWindow.xaml,,Cadastros,SelecionarClientePDVWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",FecharButton_Click,SelecionarClientePDVWindow,Diálogo Modal de Interação,CRUD,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 7
UI-043,Operação,SelecionarOrcamentoWindow,Views\SelecionarOrcamentoWindow.xaml,,Operação,SelecionarOrcamentoWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Clear]}",LimparFiltros_Click,SelecionarOrcamentoWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 6
UI-044,Operação,SelecionarProdutoPDVWindow,Views\SelecionarProdutoPDVWindow.xaml,,Operação,SelecionarProdutoPDVWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",FecharButton_Click,SelecionarProdutoPDVWindow,Diálogo Modal de Interação,CRUD,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 9
UI-045,Operação,SelecionarVendaWindow,Views\SelecionarVendaWindow.xaml,,Operação,SelecionarVendaWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",Cancelar_Click,SelecionarVendaWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 3
UI-046,Cadastros,TransferirEstoqueWindow,Views\TransferirEstoqueWindow.xaml,,Cadastros,TransferirEstoqueWindow,Cancelar,CancelarButton_Click,TransferirEstoqueWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 6
UI-047,Operação,TrocarSenhaObrigatoriaWindow,Views\TrocarSenhaObrigatoriaWindow.xaml,TrocarSenhaObrigatoriaViewModel,Operação,TrocarSenhaObrigatoriaWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,TrocarSenhaObrigatoriaWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 4
UI-048,Operação,TwoFactorSetupWindow,Views\TwoFactorSetupWindow.xaml,,Operação,TwoFactorSetupWindow,📋 Copiar,BtnCopyKey_Click,TwoFactorSetupWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 4
UI-049,Operação,UsuariosOnlineWindow,Views\UsuariosOnlineWindow.xaml,,Operação,UsuariosOnlineWindow,X,FecharButton_Click,UsuariosOnlineWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 5
UI-050,Cadastros,VisualizarFornecedorWindow,Views\VisualizarFornecedorWindow.xaml,,Cadastros,VisualizarFornecedorWindow,X,FecharButton_Click,VisualizarFornecedorWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 2
UI-051,Cadastros,VisualizarVeiculoWindow,Views\VisualizarVeiculoWindow.xaml,,Cadastros,VisualizarVeiculoWindow,X,FecharButton_Click,VisualizarVeiculoWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 9
UI-052,Cadastros,EditarClienteWindow,Views\Clientes\EditarClienteWindow.xaml,,Cadastros,EditarClienteWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[WhatsApp]}",WhatsAppButton_Click,EditarClienteWindow,Diálogo Modal de Interação,UPDATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 33
UI-053,Cadastros,NovoClienteWindow,Views\Clientes\NovoClienteWindow.xaml,,Cadastros,NovoClienteWindow,,FecharButton_Click,NovoClienteWindow,Diálogo Modal de Interação,CREATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 28
UI-054,Cadastros,VisualizarClienteWindow,Views\Clientes\VisualizarClienteWindow.xaml,,Cadastros,VisualizarClienteWindow,Editar cliente,EditarButton_Click,VisualizarClienteWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 6
UI-055,Sistema,ResetSistemaWindow,Views\Configuracoes\ResetSistemaWindow.xaml,,Sistema,ResetSistemaWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",BtnCancelar_Click,ResetSistemaWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 6
UI-056,Operação,AgendamentosControl,UserControls\AgendamentosControl.xaml,AgendamentosViewModel,Operação,AgendamentosControl,Criar novo agendamento,{Binding NovoAgendamentoCommand},,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 34
UI-057,Operação,AutoEletricaTecnicaControl,UserControls\AutoEletricaTecnicaControl.xaml,AutoEletricaTecnicaViewModel,Operação,AutoEletricaTecnicaControl,"{Binding Source={StaticResource LocalizationHelper}, Path=[Refresh]}",AtualizarTecnicaButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 6
UI-058,Cadastros,CatalogoPecasControl,UserControls\CatalogoPecasControl.xaml,CatalogoPecasViewModel,Cadastros,CatalogoPecasControl,Importar catalogo,ImportarCatalogoButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 23
UI-059,Cadastros,ClientesControl,UserControls\ClientesControl.xaml,ClientesViewModel,Cadastros,ClientesControl,"{Binding Source={StaticResource LocalizationHelper}, Path=[ClearFilters]}",LimparFiltrosClientesButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 15
UI-060,Gestão,DashboardControl,UserControls\DashboardControl.xaml,DashboardViewModel,Gestão,DashboardControl,7d,Periodo7Button_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 14
UI-061,Cadastros,EstoqueControl,UserControls\EstoqueControl.xaml,EstoqueViewModel,Cadastros,EstoqueControl,Sugestoes compra,SugestoesCompraButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 20
UI-062,Gestão,FinanceiroControl,UserControls\FinanceiroControl.xaml,FinanceiroViewModel,Gestão,FinanceiroControl,"{Binding Source={StaticResource LocalizationHelper}, Path=[Refresh]}",AtualizarDadosButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 29
UI-063,Operação,FiscalOperationsControl,UserControls\FiscalOperationsControl.xaml,,Operação,FiscalOperationsControl,"{Binding Source={StaticResource LocalizationHelper}, Path=[Refresh]}",RefreshButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 3
UI-064,Cadastros,FornecedoresControl,UserControls\FornecedoresControl.xaml,FornecedoresViewModel,Cadastros,FornecedoresControl,,AtualizarButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 9
UI-065,Cadastros,FuncionariosControl,UserControls\FuncionariosControl.xaml,FuncionariosViewModel,Cadastros,FuncionariosControl,"{Binding Source={StaticResource LocalizationHelper}, Path=[Refresh]}",AtualizarButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 11
UI-066,Operação,GlobalSearchControl,UserControls\GlobalSearchControl.xaml,,Operação,GlobalSearchControl,Limpar busca,ClearButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 2
UI-067,Ajuda,HelpControl,UserControls\HelpControl.xaml,,Ajuda,HelpControl,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 2
UI-068,Operação,ImportarNFeControl,UserControls\ImportarNFeControl.xaml,,Operação,ImportarNFeControl,Nova importacao XML,NovaImportacaoButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 13
UI-069,Operação,OficinaKanbanControl,UserControls\OficinaKanbanControl.xaml,,Operação,OficinaKanbanControl,"{Binding Source={StaticResource LocalizationHelper}, Path=[Refresh]}",AtualizarKanbanButton_Click,,Interface de Operação,CRUD,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 8
UI-070,Operação,OrcamentoAlertasControl,UserControls\OrcamentoAlertasControl.xaml,,Operação,OrcamentoAlertasControl,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-071,Operação,OrcamentoBuscaInteligenteControl,UserControls\OrcamentoBuscaInteligenteControl.xaml,,Operação,OrcamentoBuscaInteligenteControl,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 1
UI-072,Operação,OrcamentoCarrinhoControl,UserControls\OrcamentoCarrinhoControl.xaml,,Operação,OrcamentoCarrinhoControl,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 1
UI-073,Cadastros,OrcamentoClientePanelControl,UserControls\OrcamentoClientePanelControl.xaml,,Cadastros,OrcamentoClientePanelControl,Cadastro rapido,CadastroRapido_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 3
UI-074,Operação,OrcamentoHistoricoNegociacaoControl,UserControls\OrcamentoHistoricoNegociacaoControl.xaml,,Operação,OrcamentoHistoricoNegociacaoControl,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-075,Operação,OrcamentoProdutosPanelControl,UserControls\OrcamentoProdutosPanelControl.xaml,,Operação,OrcamentoProdutosPanelControl,Adicionar ao carrinho,Produto_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 1
UI-076,Gestão,OrcamentoResumoFinanceiroControl,UserControls\OrcamentoResumoFinanceiroControl.xaml,,Gestão,OrcamentoResumoFinanceiroControl,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-077,Operação,OrcamentosControl,UserControls\OrcamentosControl.xaml,OrcamentosViewModel,Operação,OrcamentosControl,"{Binding Source={StaticResource LocalizationHelper}, Path=[NewQuote]}",NovoOrcamento_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 17
UI-078,Operação,OrcamentoStatusControl,UserControls\OrcamentoStatusControl.xaml,,Operação,OrcamentoStatusControl,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-079,Operação,OrcamentoTimelineControl,UserControls\OrcamentoTimelineControl.xaml,,Operação,OrcamentoTimelineControl,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-080,Operação,OrdensServicoControl,UserControls\OrdensServicoControl.xaml,OrdensServicoViewModel,Operação,OrdensServicoControl,"{Binding Source={StaticResource LocalizationHelper}, Path=[NewOs]}",NovaOsButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 19
UI-081,Operação,PDVControl,UserControls\PDVControl.xaml,PDVViewModel,Operação,PDVControl,"{Binding Source={StaticResource LocalizationHelper}, Path=[Search]}",BuscarProdutoButton_Click,,Interface de Operação,CRUD,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 27
UI-082,Gestão,RelatoriosControl,UserControls\RelatoriosControl.xaml,RelatoriosViewModel,Gestão,RelatoriosControl,"{Binding Source={StaticResource LocalizationHelper}, Path=[Refresh]}",Atualizar_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 42
UI-083,Cadastros,VeiculosControl,UserControls\VeiculosControl.xaml,VeiculosViewModel,Cadastros,VeiculosControl,"{Binding Source={StaticResource LocalizationHelper}, Path=[NewVehicle]}",NovoVeiculoButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 11
UI-084,Operação,App,App.xaml,,Operação,App,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-085,Operação,MainWindow,MainWindow.xaml,,Operação,MainWindow,Alternar sidebar,SidebarToggleButton_Click,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 29
UI-086,Operação,Animations,Themes\Animations.xaml,,Operação,Animations,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-087,Operação,Badges,Themes\Badges.xaml,,Operação,Badges,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-088,Operação,Buttons,Themes\Buttons.xaml,,Operação,Buttons,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-089,Operação,Calendar,Themes\Calendar.xaml,,Operação,Calendar,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-090,Operação,Cards,Themes\Cards.xaml,,Operação,Cards,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-091,Operação,Colors.Dark,Themes\Colors.Dark.xaml,,Operação,Colors.Dark,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-092,Operação,Colors.Light,Themes\Colors.Light.xaml,,Operação,Colors.Light,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-093,Operação,Colors,Themes\Colors.xaml,,Operação,Colors,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-094,Gestão,Dashboard,Themes\Dashboard.xaml,DashboardViewModel,Gestão,Dashboard,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-095,Operação,DataGrid,Themes\DataGrid.xaml,,Operação,DataGrid,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-096,Operação,Density,Themes\Density.xaml,,Operação,Density,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-097,Operação,EmptyStates,Themes\EmptyStates.xaml,,Operação,EmptyStates,"{Binding ActionText, FallbackValue='Adicionar Novo'}",{Binding ActionCommand},,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 2
UI-098,Operação,Feedback,Themes\Feedback.xaml,,Operação,Feedback,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-099,Operação,GlobalStyles,Themes\GlobalStyles.xaml,,Operação,GlobalStyles,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-100,Operação,Header,Themes\Header.xaml,,Operação,Header,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-101,Operação,Icons,Themes\Icons.xaml,,Operação,Icons,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
UI-102,Operação,Inputs,Themes\Inputs.xaml,,Operação,Inputs,Abrir calendario,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 4
UI-103,Operação,ListView,Themes\ListView.xaml,,Operação,ListView,,,,Interface de Operação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 0
