ID,Modal,Arquivo,Titulo,Campos_Controles,Validacoes,Cancelar,Fechar,Salvar,Confirmar,Resultado,Observacao
MOD-034,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,OrdemServicoWindow,"31 campos (ClienteComboBox, VeiculoComboBox, TecnicoComboBox, VeiculoDescricaoTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),SIM,N/A,PASS,Modal inspecionado com 58 elementos interativos
MOD-035,PagamentoMistoWindow,Views\PagamentoMistoWindow.xaml,PagamentoMistoWindow,"3 campos (DinheiroTextBox, PixTextBox, CartaoTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,SIM,PASS,Modal inspecionado com 5 elementos interativos
MOD-036,PosVendaWindow,Views\PosVendaWindow.xaml,PosVendaWindow,"8 campos (TipoComboBox, StatusComboBox, DataPrevistaDatePicker, DataRealizadaDatePicker...)",Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM,SIM,N/A,PASS,Modal inspecionado com 15 elementos interativos
MOD-037,PrimeiraExecucaoWindow,Views\PrimeiraExecucaoWindow.xaml,PrimeiraExecucaoWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 5 elementos interativos
MOD-038,Produto360Window,Views\Produto360Window.xaml,Produto360Window,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM,N/A,N/A,PASS,Modal inspecionado com 1 elementos interativos
MOD-039,RevisarCatalogoPecaWindow,Views\RevisarCatalogoPecaWindow.xaml,RevisarCatalogoPecaWindow,"13 campos (CodigoFabricanteTextBox, MarcaTextBox, NomeTextBox, DescricaoTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),SIM,N/A,PASS,Modal inspecionado com 18 elementos interativos
MOD-040,SelecaoFilialWindow,Views\SelecaoFilialWindow.xaml,SelecaoFilialWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,SIM,PASS,Modal inspecionado com 2 elementos interativos
MOD-041,SelecionarClientePDVWindow,Views\SelecionarClientePDVWindow.xaml,SelecionarClientePDVWindow,1 campos (BuscaTextBox...),Validação de obrigatoriedade e integridade ativa,SIM,SIM,N/A,N/A,PASS,Modal inspecionado com 7 elementos interativos
MOD-042,SelecionarOrcamentoWindow,Views\SelecionarOrcamentoWindow.xaml,SelecionarOrcamentoWindow,"2 campos (BuscaTextBox, StatusFilterComboBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 6 elementos interativos
MOD-043,SelecionarProdutoPDVWindow,Views\SelecionarProdutoPDVWindow.xaml,SelecionarProdutoPDVWindow,"3 campos (BuscaTextBox, CategoriaComboBox, StatusComboBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM,N/A,N/A,PASS,Modal inspecionado com 9 elementos interativos
MOD-044,SelecionarVendaWindow,Views\SelecionarVendaWindow.xaml,SelecionarVendaWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 3 elementos interativos
MOD-045,TransferirEstoqueWindow,Views\TransferirEstoqueWindow.xaml,TransferirEstoqueWindow,"4 campos (LocalizacaoTextBox, PrateleiraTextBox, GavetaTextBox, MotivoTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,SIM,PASS,Modal inspecionado com 6 elementos interativos
MOD-046,TrocarSenhaObrigatoriaWindow,Views\TrocarSenhaObrigatoriaWindow.xaml,TrocarSenhaObrigatoriaWindow,"2 campos (NovaSenhaPasswordBox, ConfirmarSenhaPasswordBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),SIM,SIM,PASS,Modal inspecionado com 4 elementos interativos
MOD-047,TwoFactorSetupWindow,Views\TwoFactorSetupWindow.xaml,TwoFactorSetupWindow,1 campos (txtVerificationCode...),Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 4 elementos interativos
MOD-048,UsuariosOnlineWindow,Views\UsuariosOnlineWindow.xaml,UsuariosOnlineWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM,N/A,N/A,PASS,Modal inspecionado com 5 elementos interativos
MOD-049,VisualizarFornecedorWindow,Views\VisualizarFornecedorWindow.xaml,VisualizarFornecedorWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM,N/A,N/A,PASS,Modal inspecionado com 2 elementos interativos
MOD-050,VisualizarVeiculoWindow,Views\VisualizarVeiculoWindow.xaml,VisualizarVeiculoWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM,N/A,N/A,PASS,Modal inspecionado com 9 elementos interativos
MOD-051,EditarClienteWindow,Views\Clientes\EditarClienteWindow.xaml,EditarClienteWindow,"19 campos (TipoPessoaComboBox, StatusClienteComboBox, NomeTextBox, CpfTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM,SIM,N/A,PASS,Modal inspecionado com 33 elementos interativos
MOD-052,NovoClienteWindow,Views\Clientes\NovoClienteWindow.xaml,NovoClienteWindow,"19 campos (TipoPessoaComboBox, StatusClienteComboBox, NomeTextBox, CpfTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM,SIM,N/A,PASS,Modal inspecionado com 28 elementos interativos
MOD-053,VisualizarClienteWindow,Views\Clientes\VisualizarClienteWindow.xaml,VisualizarClienteWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM,N/A,N/A,PASS,Modal inspecionado com 6 elementos interativos
MOD-054,ResetSistemaWindow,Views\Configuracoes\ResetSistemaWindow.xaml,ResetSistemaWindow,"4 campos (chkClientes, chkVeiculos, chkEstoque, txtSenhaConfirmacao...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,SIM,PASS,Modal inspecionado com 6 elementos interativos
