ID,Modulo,Tela,Service,Repository,Persistencia,API,Status,Mock,ExternalDependency,RBAC,Testes,DesktopValidado,Problema,CorrecaoNecessaria,Prioridade
F47,Fiscal,N/A,N/A,N/A,Nenhum,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NAO,SIM,NAO,NOT_TESTED,NAO,NFS-e Padrao Nacional Municipal inexistente,Implementar integracao REST na Trilha B,P2
F48,Licenciamento,ConfiguracoesSistemaWindow.xaml,LicenseService,N/A,Arquivo local (licenca.lic),NOT_IMPLEMENTED,MOCK,SIM,NAO,SIM (SISTEMA_CONFIGURAR),PASS,SIM,IsCommercialScaffoldOnly=true para demo local,Construir servidor de licenca assimetrico na Trilha B,P2
F49,Configuracoes,ConfiguracoesSistemaWindow.xaml,DatabaseConnectionSettingsService,N/A,JSON (database-settings.json),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (SISTEMA_CONFIGURAR),PASS,SIM,Nenhum,Gerenciamento de conexao e isolamento operacional,P4
F50,Auditoria,AuditoriaControl.xaml,AuditTrailService,N/A,SQLite (AuditLogs),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (AUDITORIA_VER),PASS,SIM,Nenhum,Trilha de auditoria append-only,P4
F51,Comunicacao,N/A,WhatsAppMessagingService,N/A,Link wa.me,NOT_IMPLEMENTED,PARTIAL,NAO,NAO,SIM (CLIENTES_VER),PASS,SIM,Gera link wa.me direto; sem gateway bot cloud,Homologar Chatwoot / Z-API na Trilha B,P3
F52,Suporte,ChatSuporteControl.xaml,N/A,N/A,Nenhum,NOT_IMPLEMENTED,UI_ONLY,NAO,NAO,NAO,NOT_TESTED,NAO,Tela de chat de suporte sem backend,Conectar WebSocket ou manter como feedback local,P3
F53,Financeiro,N/A,N/A,N/A,Nenhum,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NAO,SIM,NAO,NOT_TESTED,NAO,TEF / Maquininha Integrada inexistente,Integrar SDK SiTef / Stone / PagBank,P2
F54,Financeiro,N/A,N/A,N/A,Nenhum,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NAO,SIM,NAO,NOT_TESTED,NAO,Conciliacao Bancaria OFX/CNAB inexistente,Parser OFX e gerador CNAB240/400,P2
F55,Estoque,N/A,N/A,N/A,Nenhum,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NAO,SIM,NAO,NOT_TESTED,NAO,Integracao API Catalogo Fornecedores Web inexistente,Integrar webservices DNI / Ikro / Bosch,P3
F56,Corporativo,N/A,N/A,N/A,Nenhum,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NAO,SIM,NAO,NOT_TESTED,NAO,Multi-empresa / Matriz-Filial Nuvem inexistente,Sincronizador cloud multi-tenant,P3
F57,Clientes,N/A,N/A,N/A,Nenhum,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NAO,SIM,NAO,NOT_TESTED,NAO,App Mobile do Cliente inexistente,Desenvolver app Flutter / React Native,P3
