ID,Nome,Modulo,StatusB4,StatusTecnicoAtual,StatusComercial,Dependencia,Bloqueador,Teste,Documentacao,Observacao
F31,Financeiro Fluxo de Caixa e Extrato,Financeiro,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (14 tests),B4_MONEY_FINAL_RUNTIME_AUDIT.md,Extrato consolidado de entradas e saidas por periodo
F32,Caixa Operacional Balcao,Caixa,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (12 tests),B4_PRODUCT_INVENTORY.md,"Abertura, fechamento de turno, suprimento e sangria"
F33,PDV Venda Direta / Balcao,PDV,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (16 tests),B4_PRODUCT_INVENTORY.md,Venda rapida de pecas de balcao sem vinculo com OS
F34,Agendamentos Controle de Patio,Agendamentos,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (11 tests),B4_PRODUCT_INVENTORY.md,Quadro de horarios e reservas de atendimento
F35,Agendamentos Notificacao Externa,Agendamentos,PARTIAL,PARTIAL,POST_RELEASE,Gateway SMS/WhatsApp,Alertas em tela funcionais; gateway ausente,PASS (Smoke),B4_PRODUCT_INVENTORY.md,Disparo automatico de lembretes aos clientes
F36,Fornecedores Cadastro e Contatos,Fornecedores,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (10 tests),B4_PRODUCT_INVENTORY.md,Gestao cadastral e historico de compras de fornecedores
F37,Fornecedores Pedidos de Compra,Fornecedores,CORE,CORE,RELEASE_RECOMMENDED,Nenhuma,Nenhum,PASS (8 tests),B4_PRODUCT_INVENTORY.md,Cotacao e geracao de ordens de compra
F38,Funcionarios e Produtividade,Funcionarios,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (12 tests),B4_PRODUCT_INVENTORY.md,"Cadastro de equipe, eletricistas e apontamento de OS"
F39,Seguranca RBAC 10 Perfis / 82 Permissoes,Seguranca,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (24 tests),B3_RBAC_HARDENING.md,Matriz rigorosa fail-closed (Unavailable = DENY)
F40,Seguranca Autenticacao PBKDF2,Seguranca,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (15 tests),B3_RBAC_HARDENING.md,Hash seguro de senhas com sal e protecao brute-force
F41,Seguranca API REST JWT Local,Seguranca,CORE,CORE,PILOT_REQUIRED,Nenhuma,Nenhum,PASS (18 tests),B3_RBAC_HARDENING.md,Endpoints protegidos por token JWT para integracoes locais
F42,Backup e Restore SQLite com Integridade,Backup,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (14 tests),B4_PRODUCT_INVENTORY.md,Backup a quente e restore com validacao de integridade e FKs
F43,Relatorios Operacionais e Financeiros,Relatorios,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (16 tests),B4_PRODUCT_INVENTORY.md,"Relatorios em tela e impressao de OS, DRE e estoque"
F44,Relatorios Customizaveis / BI,Relatorios,PARTIAL,PARTIAL,POST_RELEASE,Nenhuma,Exportacao CSV completa; gerador dinamico ausente,PASS (5 tests),B4_PRODUCT_INVENTORY.md,Construtor visual avancado de relatorios e cubos OLAP
F45,Fiscal Leitura e Conferencia de XML,Fiscal,PARTIAL,PARTIAL,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (8 tests),B4_FISCAL_ARCHITECTURE.md,Parser de NF-e para auditoria e entrada de notas fiscais
F46,Fiscal Emissao NF-e/NFC-e SEFAZ,Fiscal,EXTERNAL_DEPENDENCY,EXTERNAL_DEPENDENCY,BLOCKED,Certificado A1/A3 e SEFAZ,ProductionEmissionAllowed=false bloqueado intencionalmente,PASS (Contrato),B4_FISCAL_ARCHITECTURE.md,Pipeline montado; emissao de producao bloqueada
F47,Fiscal Emissao NFS-e Municipal,Fiscal,NOT_IMPLEMENTED,NOT_IMPLEMENTED,FUTURE,Provedor ISS Municipal,Inexistente na solucao,NOT_TESTED,B4_FISCAL_ARCHITECTURE.md,Emissao de NFS-e padrao municipal ou nacional
F48,Licenciamento Scaffold Local,Licenciamento,MOCK,MOCK,BLOCKED,Servidor de Licenciamento,IsCommercialScaffoldOnly=true bloqueia modo comercial,PASS (Fail-closed),B4_LICENSE_ARCHITECTURE.md,Scaffold fail-closed; arquitetura definida em B5_0_LICENSE_RELEASE_PLAN
F49,Configuracoes e Personalizacao,Configuracoes,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (10 tests),B4_PRODUCT_INVENTORY.md,"Dados da oficina, configuracao de impressora e Dark/Light"
F50,Auditoria e Log Operacional,Auditoria,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (12 tests),B4_PRODUCT_INVENTORY.md,Registro append-only de eventos de seguranca e operacoes
F51,Comunicacao WhatsApp Link wa.me,Comunicacao,PARTIAL,PARTIAL,RELEASE_RECOMMENDED,Navegador Web / WhatsApp Web,Gera link wa.me direto; sem envio automatico,PASS (Smoke),B4_PRODUCT_INVENTORY.md,Disparo manual com mensagem estruturada com 1 clique
F52,Suporte Tecnico Chat UI,Suporte,UI_ONLY,UI_ONLY,POST_RELEASE,Servidor de Atendimento,Interface de chat sem backend integrado,PASS (Smoke),B4_PRODUCT_INVENTORY.md,Canal de abertura de chamados dentro do software
F53,Financeiro TEF / Cartao Integrado,Financeiro,NOT_IMPLEMENTED,NOT_IMPLEMENTED,FUTURE,Adquirentes / Provedores TEF,Inexistente na solucao,NOT_TESTED,B4_PRODUCT_INVENTORY.md,Integracao de maquininha de cartao direta no PDV
F54,Financeiro Conciliacao OFX / CNAB,Financeiro,NOT_IMPLEMENTED,NOT_IMPLEMENTED,FUTURE,Extrato Bancario OFX,Inexistente na solucao,NOT_TESTED,B4_PRODUCT_INVENTORY.md,Leitura e conciliacao automatica de extratos bancarios
F55,Estoque Catalogo Distribuidor Online,Estoque,NOT_IMPLEMENTED,NOT_IMPLEMENTED,FUTURE,APIs B2B Distribuidores,Inexistente na solucao,NOT_TESTED,B4_PRODUCT_INVENTORY.md,Consulta remota de precos e disponibilidade em fornecedores
F56,Corporativo Multi-Filial / Nuvem,Corporativo,NOT_IMPLEMENTED,NOT_IMPLEMENTED,FUTURE,Servidor Nuvem / Multi-Tenant,Inexistente; solucao e single-store local,NOT_TESTED,B5_0_CLOUD_ROADMAP.md,Gestao centralizada de redes de oficinas
F57,Clientes App Mobile do Proprietario,Clientes,NOT_IMPLEMENTED,NOT_IMPLEMENTED,FUTURE,App iOS/Android,Inexistente na solucao,NOT_TESTED,B4_PRODUCT_INVENTORY.md,Aplicativo mobile para clientes acompanharem servico
